"File","Line","Rule","Message"
"test/unit/AdaskoTheBeAsT.Dapper.GraphQL.MySql.Test/SqlInsertContextMySqlExtensionsTests.cs","18","Moq1410","Explicitly set the Strict mocking behavior for 'System.Data.IDbConnection'"
"test/unit/AdaskoTheBeAsT.Dapper.GraphQL.MySql.Test/SqlInsertContextMySqlExtensionsTests.cs","27","CC0061","Change method name to ExecuteWithMySqlIdentityAsyncThrowsForUnsupportedTypeAsync"
"test/unit/AdaskoTheBeAsT.Dapper.GraphQL.MySql.Test/SqlInsertContextMySqlExtensionsTests.cs","30","Moq1410","Explicitly set the Strict mocking behavior for 'System.Data.IDbConnection'"
"test/unit/AdaskoTheBeAsT.Dapper.GraphQL.Oracle.Test/OracleIdentityTests.cs","16","Moq1410","Explicitly set the Strict mocking behavior for 'System.Data.IDbConnection'"
"test/unit/AdaskoTheBeAsT.Dapper.GraphQL.Oracle.Test/OracleIdentityTests.cs","24","CC0061","Change method name to NextIdentityAsyncThrowsForNonMemberExpressionAsync"
"test/unit/AdaskoTheBeAsT.Dapper.GraphQL.Oracle.Test/OracleIdentityTests.cs","26","Moq1410","Explicitly set the Strict mocking behavior for 'System.Data.IDbConnection'"
"test/unit/AdaskoTheBeAsT.Dapper.GraphQL.Oracle.Test/SqlInsertContextOracleExtensionsTests.cs","18","Moq1410","Explicitly set the Strict mocking behavior for 'System.Data.IDbConnection'"
"test/unit/AdaskoTheBeAsT.Dapper.GraphQL.Oracle.Test/SqlInsertContextOracleExtensionsTests.cs","26","CC0061","Change method name to ExecuteWithOracleIdentityAsyncThrowsForNonMemberExpressionAsync"
"test/unit/AdaskoTheBeAsT.Dapper.GraphQL.Oracle.Test/SqlInsertContextOracleExtensionsTests.cs","29","Moq1410","Explicitly set the Strict mocking behavior for 'System.Data.IDbConnection'"
"test/unit/AdaskoTheBeAsT.Dapper.GraphQL.PostgreSql.Test/PostgreSqlIdentityTests.cs","16","Moq1410","Explicitly set the Strict mocking behavior for 'System.Data.IDbConnection'"
"test/unit/AdaskoTheBeAsT.Dapper.GraphQL.PostgreSql.Test/PostgreSqlIdentityTests.cs","24","CC0061","Change method name to NextIdentityAsyncThrowsForNonMemberExpressionAsync"
"test/unit/AdaskoTheBeAsT.Dapper.GraphQL.PostgreSql.Test/PostgreSqlIdentityTests.cs","26","Moq1410","Explicitly set the Strict mocking behavior for 'System.Data.IDbConnection'"
"test/unit/AdaskoTheBeAsT.Dapper.GraphQL.PostgreSql.Test/SqlInsertContextPostgreSqlExtensionsTests.cs","18","Moq1410","Explicitly set the Strict mocking behavior for 'System.Data.IDbConnection'"
